Scraped At,Section,Product Name,Discount,Rating
2026-02-15,Footwear,Xtoon Multi Color Men's Korean Shoes,15,4.8
2026-02-15,Footwear,LiteHawks Green Men's Daily Slipper,21,2.3
2026-02-15,Footwear,Paduki Silver Women's Flats,55,2.8
2026-02-15,Footwear,Dream Makers - Black Women's Sandal Heels,48,4.5
2026-02-15,Footwear,Cozy Wear Black Men's Daily Slipper,6,4.6
2026-02-15,Footwear,Leeport - Black Men's Slip On Formal Shoes,43,4.1
2026-02-15,Footwear,FUSEOWL Purple Women's Toe Covered Flip Flop,12,3.1
2026-02-15,Footwear,Shoetopia Black Women's Casual Ballerinas,50,4.4
2026-02-15,Footwear,hanuco Orthopaedic Insoles,22,1.8
2026-02-15,Footwear,Densu Black Men's Korean Shoes,10,3.3
2026-02-15,Footwear,Prolific - Black Men's Driving loafers,27,1.7
2026-02-15,Footwear,PENNEN White Men's Lifestyle Shoes,37,1.6
2026-02-15,Footwear,ROGZI Cream Polish Suitable for Neutral Color,47,2.9
2026-02-15,Footwear,ZYPSO Zypso Men?s Grey Synthetic Grey Men's Lifestyle Shoes,42,4.3
2026-02-15,Footwear,PENNEN White Men's Lifestyle Shoes,27,2.2
2026-02-15,Footwear,Altek PeachPuff Women's Flats,8,3.0
2026-02-15,Footwear,"ADISO Trendy ,outdoor stylish casual White Men's Outdoor Shoes",52,4.1
2026-02-15,Footwear,Seafoot White Men's Outdoor Shoes,53,3.3
2026-02-15,Footwear,HANSWING Liquid Polish Suitable for Neutral Color,52,2.6
2026-02-15,Footwear,Stylestry Silver Women's Flats,12,4.2
2026-02-15,Footwear,Stylestry Silver Women's Sandal Heels,11,3.0
2026-02-15,Footwear,KATENIA - Black Men's Oxford Formal Shoes,24,2.2
2026-02-15,Footwear,FUSEOWL Light Grey Women's Toe Covered Flip Flop,10,3.6
2026-02-15,Footwear,YNP Design Collections Black Women's Ethnic Ballerinas,17,4.4
2026-02-15,Footwear,ROGZI Liquid Polish Suitable for Black Color,16,4.7
2026-02-15,Footwear,Bersache - Light Grey Boy's Clogs ( 1 Pair ),16,4.2
2026-02-15,Footwear,Paduki Gray Women's Flats,41,1.3
2026-02-15,Footwear,PENNEN Blue Women's Flats,26,4.0
2026-02-15,Footwear,Paduki Gold Women's Flats,50,3.2
2026-02-15,Footwear,Citipiti ind. Gray Women's Flats,49,1.6
2026-02-15,Footwear,MAAN Black Women's Gladiators Flats,11,4.8
2026-02-15,Footwear,Altek Silver Women's Flats,21,3.0
2026-02-15,Footwear,Modern Stylish Kids Girls Casual Partywear Soft Padded Sandals,12,4.8
2026-02-15,Footwear,KHADIM Beige Flats,20,3.4
2026-02-15,Footwear,IKAGI Brown Women's Flats,43,1.8
2026-02-15,Footwear,Stylestry Black Women's Flats,36,3.0
2026-02-15,Footwear,Altek Green Women's Flats,47,4.0
2026-02-15,Footwear,IndiForce Black Women's Flats,21,4.4
2026-02-15,Footwear,ICONIC ME - Purple Girl's LED Shoes ( 1 Pair ),29,2.6
2026-02-15,Kids Fashion,Cool and NIce kids Multi color Bermuda pack of 5,19,4.8
2026-02-15,Kids Fashion,"A.W.A KIDS FASHION Cotton Frock For Girls ( Pack of 1 , Blue )",50,2.8
2026-02-15,Kids Fashion,"A.W.A KIDS FASHION Cotton Blend Frock For Girls ( Pack of 1 , Pink )",46,3.0
2026-02-15,Kids Fashion,"A.W.A KIDS FASHION Cotton Blend Frock For Girls ( Pack of 1 , Light Blue )",23,4.1
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , White )",39,2.5
2026-02-15,Kids Fashion,"Arshia Fashions Girls Cotton Blend Kurti with Sharara ( Pack of 1 , Pink )",8,4.6
2026-02-15,Kids Fashion,"Arshia Fashions Polyester Shirt Dress For Girls ( Pack of 1 , Multicolor )",15,1.8
2026-02-15,Kids Fashion,"Nios Fashion Girls Cotton Polyester Jeans ( Pack of 2 , Multicolor 1 )",29,3.2
2026-02-15,Kids Fashion,"PMD Fashion Net Lehenga Choli Set For Girls ( Pack of 1 , Charcoal )",5,2.7
2026-02-15,Kids Fashion,NI FASHION Pack of 1 Boys Cotton Blend T-Shirt ( Green ),5,3.4
2026-02-15,Kids Fashion,s muktar garments - Green Cotton Blend Boys Professional Costume ( Pack of 1 ),41,4.4
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Red )",51,3.1
2026-02-15,Kids Fashion,"Arshia Fashions Net Lehenga Choli Set For Girls ( Pack of 1 , Green )",22,2.7
2026-02-15,Kids Fashion,KASEERA CUTE STYLISH AND TRENDING KIDS GYM VEST PACK OF 5,28,4.3
2026-02-15,Kids Fashion,"Arshia Fashions Cotton Blend Shirt Dress For Girls ( Pack of 1 , Blue )",32,2.8
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Red )",11,4.2
2026-02-15,Kids Fashion,NAYPAL FASHION STYLE Pack of 1 Boys & Girls Cotton Blend T-Shirt ( Pink ),10,3.2
2026-02-15,Kids Fashion,"A.W.A KIDS FASHION Cotton Blend Frock For Girls ( Pack of 1 , Green )",16,3.4
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Red )",51,3.0
2026-02-15,Kids Fashion,"Arshia Fashions Polyester Blend Frock For Girls ( Pack of 1 , Red )",49,4.0
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Blue )",20,4.6
2026-02-15,Kids Fashion,"Arshia Fashions Net Lehenga Choli Sets For Girls ( , Blue )",40,2.3
2026-02-15,Kids Fashion,"Arshia Fashions Girls Cotton Blend Patiala Kurta Set ( Pack of 1 , Green )",43,3.7
2026-02-15,Kids Fashion,"Nios Fashion Girls Cotton Polyester Jeans ( Pack of 2 , Multicolor 4 )",34,4.5
2026-02-15,Kids Fashion,"A.W.A KIDS FASHION Cotton Blend Frock For Girls ( Pack of 1 , Red )",10,3.5
2026-02-15,Kids Fashion,NI FASHION Pack of 1 Boys Cotton Blend Polo T-Shirt ( White ),45,1.5
2026-02-15,Kids Fashion,NI FASHION Pack of 1 Boys Cotton Blend T-Shirt ( Red ),12,4.4
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Red )",23,4.6
2026-02-15,Kids Fashion,NI FASHION Pack of 1 Boys Cotton Blend T-Shirt ( Navy Blue ),19,2.5
2026-02-15,Kids Fashion,"PMD Fashion Net Lehenga Choli Set For Girls ( Pack of 1 , Wine )",55,4.2
2026-02-15,Kids Fashion,"Arshia Fashions Polyester Fit And Flare Dress For Girls ( Pack of 1 , Blue )",36,1.8
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , White )",44,1.9
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , White )",9,4.1
2026-02-15,Kids Fashion,Shiv Fashion Pack of 1 Boys Cotton Blend T-Shirt & Trackpants Set ( Green ),39,1.9
2026-02-15,Kids Fashion,"Arshia Fashions Polyester Fit And Flare Dress For Girls ( Pack of 1 , Purple )",7,4.4
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Pink )",23,1.8
2026-02-15,Kids Fashion,"Arshia Fashions Net Lehenga Choli Sets For Girls ( , Red )",14,2.3
2026-02-15,Kids Fashion,NI FASHION Pack of 1 Boys Cotton Blend T-Shirt ( Maroon ),50,2.6
2026-02-15,Kids Fashion,"Niicce Fashion Cotton Blend Dress For Girls ( Pack of 1 , Multicolor )",17,1.4
2026-02-15,Kids Fashion,"samjho fashion Net Gown For Girls ( Pack of 1 , Pink )",15,4.5
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Pink )",40,2.4
2026-02-15,Kids Fashion,"Nios Fashion Girls Cotton Polyester Jeans ( Pack of 2 , Multicolor 3 )",50,2.8
2026-02-15,Kids Fashion,NI FASHION Pack of 1 Boys Cotton Blend T-Shirt ( Purple ),34,4.0
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Blue )",51,4.1
2026-02-15,Kids Fashion,"PMD Fashion Net Lehenga Choli Set For Girls ( Pack of 1 , Rust )",14,4.2
2026-02-15,Kids Fashion,NI FASHION Pack of 1 Boys Cotton Blend T-Shirt ( Light Green ),48,4.7
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Red )",40,4.3
2026-02-15,Kids Fashion,Arshia Fashions Boys Cotton Yellow Kurta Pant Set ( Pack of 1 ),20,3.1
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Pink )",9,2.8
2026-02-15,Kids Fashion,"Dhvra Fashion Girls Georgette Kurti with Palazzo ( Pack of 1 , BLUE )",42,3.6
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Sky Blue )",19,4.7
2026-02-15,Kids Fashion,"samjho fashion Net Frock For Baby Girls ( Pack of 1 , Green )",17,2.0
2026-02-15,Kids Fashion,NI FASHION Pack of 1 Boys Cotton Blend T-Shirt ( Black ),6,2.2
2026-02-15,Kids Fashion,"A.W.A KIDS FASHION Cotton Blend Frock For Girls ( Pack of 1 , Black )",44,2.5
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Pink )",35,4.7
2026-02-15,Kids Fashion,"Arshia Fashions Baby Girls Cotton Blend Kurti with Salwar ( Pack of 1 , Green )",42,2.4
2026-02-15,Kids Fashion,NI FASHION Pack of 1 Boys Cotton Blend T-Shirt ( Sky Blue ),34,1.5
2026-02-15,Kids Fashion,"Nios Fashion Girls Cotton Polyester Jeans ( Pack of 2 , Multicolor 5 )",51,4.3
2026-02-15,Kids Fashion,Shiv Fashion Pack of 1 Boys Cotton Blend T-Shirt & Trackpants Set ( Red ),33,4.5
2026-02-15,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Pink )",49,3.0
2026-02-15,Men Clothing,AZF Nylon Men's Casual Jacket - Wine ( Pack of 1 ),21,2.0
2026-02-15,Men Clothing,Mashaykh Polyester Men's Windcheater Jacket - Black ( Pack of 1 ),26,1.6
2026-02-15,Men Clothing,Montrez Cotton Blend Men's Casual Jacket - White ( Pack of 1 ),12,2.9
2026-02-15,Men Clothing,FTX Denim Men's Denim Jacket - Light Blue ( Pack of 1 ),25,2.6
2026-02-15,Men Clothing,Christy World Polyester Men's Casual Jacket - Black ( Pack of 1 ),24,2.0
2026-02-15,Men Clothing,Reya Cotton Blend Men's Casual Jacket - Maroon ( Pack of 1 ),55,2.3
2026-02-15,Men Clothing,TAZO Nylon Men's Windcheater Jacket - Blue ( Pack of 1 ),30,1.7
2026-02-15,Men Clothing,Mashaykh Polyester Men's Windcheater Jacket - White ( Pack of 1 ),19,4.3
2026-02-15,Men Clothing,Rigo Polyester Men's Puffer Jacket - Grey ( Pack of 1 ),11,2.5
2026-02-15,Men Clothing,TrendsTalk Nylon Men's Windcheater Jacket - Blue ( Pack of 1 ),53,1.6
2026-02-15,Men Clothing,IF-INDIAN FORT Polyester Men's Quilted & Bomber Jacket - Navy ( Pack of 1 ),32,3.2
2026-02-15,Men Clothing,eddicted Polyester Men's Puffer Jacket - Blue ( Pack of 1 ),39,3.4
2026-02-15,Men Clothing,yellow tree Polyester Men's Casual Jacket - White ( Pack of 1 ),50,2.4
2026-02-15,Men Clothing,Reya Cotton Blend Men's Casual Jacket - Black ( Pack of 1 ),32,1.8
2026-02-15,Men Clothing,eddicted Nylon Men's Biker Jacket - Grey ( Pack of 1 ),38,2.1
2026-02-15,Men Clothing,Montrez Cotton Blend Men's Casual Jacket - Olive ( Pack of 1 ),15,4.3
2026-02-15,Men Clothing,Forbro Nylon Men's Windcheater Jacket - Maroon ( Pack of 1 ),43,2.3
2026-02-15,Men Clothing,Rigo Fleece Men's Casual Jacket - Grey ( Pack of 1 ),53,1.8
2026-02-15,Men Clothing,eddicted Polyester Men's Puffer Jacket - Navy Blue ( Pack of 1 ),41,3.9
2026-02-15,Men Clothing,TAZO Nylon Men's Casual Jacket - Grey ( Pack of 1 ),46,4.5
2026-02-15,Men Clothing,Forbro Nylon Men's Windcheater Jacket - Black ( Pack of 1 ),41,4.2
2026-02-15,Men Clothing,Montrez Cotton Blend Men's Casual Jacket - Yellow ( Pack of 1 ),42,3.5
2026-02-15,Men Clothing,yellow tree Polyester Men's Casual Jacket - Multicolor ( Pack of 1 ),27,4.5
2026-02-15,Men Clothing,AZF Nylon Men's Windcheater Jacket - Dark Grey ( Pack of 1 ),36,1.9
2026-02-15,Men Clothing,Eyebogler Polyester Men's Windcheater Jacket - Grey ( Pack of 1 ),30,2.7
2026-02-15,Men Clothing,TrendsTalk Nylon Men's Windcheater Jacket - Gold ( Pack of 1 ),38,1.4
2026-02-15,Men Clothing,AZF Nylon Men's Windcheater Jacket - Olive ( Pack of 1 ),8,2.7
2026-02-15,Men Clothing,yellow tree Polyester Men's Casual Jacket - Black ( Pack of 1 ),48,3.8
2026-02-15,Men Clothing,Christy World Nylon Men's Windcheater Jacket - Black ( Pack of 1 ),45,1.7
2026-02-15,Men Clothing,eddicted Polyester Men's Quilted & Bomber Jacket - Maroon ( Pack of 1 ),29,4.6
2026-02-15,Men Clothing,Mashaykh Polyester Men's Windcheater Jacket - Multicolor 2 ( Pack of 1 ),30,4.5
2026-02-15,Men Clothing,AZF Nylon Men's Windcheater Jacket - Navy ( Pack of 1 ),5,1.7
2026-02-15,Men Clothing,Forbro Nylon Men's Windcheater Jacket - White ( Pack of 1 ),26,1.5
2026-02-15,Men Clothing,freaks Polyester Men's Biker Jacket - Black ( Pack of 1 ),10,3.7
2026-02-15,Men Clothing,eddicted Polyester Men's Windcheater Jacket - Grey ( Pack of 1 ),13,1.3
2026-02-15,Men Clothing,Leotude Fleece Men's Casual Jacket - Mustard ( Pack of 1 ),39,1.9
2026-02-15,Men Clothing,4B Nylon Men's Windcheater Jacket - Black ( Pack of 1 ),55,4.0
2026-02-15,Men Clothing,Mashaykh Polyester Men's Windcheater Jacket - Multicolor 1 ( Pack of 1 ),40,3.7
2026-02-15,Men Clothing,MAYKR Polyester Men's Windcheater Jacket - Grey ( Pack of 1 ),34,4.7
2026-02-15,Men Clothing,Reya Cotton Blend Men's Casual Jacket - Blue ( Pack of 1 ),48,4.4
2026-02-15,Men Clothing,SCOLLER Polyester Men's Windcheater Jacket - Navy Blue ( Pack of 1 ),15,3.7
2026-02-15,Men Clothing,FTX Fleece Men's Casual Jacket - Mustard ( Pack of 1 ),9,3.7
2026-02-15,Men Clothing,Reya Cotton Blend Men's Casual Jacket - Blue ( Pack of 1 ),39,1.3
2026-02-15,Men Clothing,MAYKR Polyester Men's Windcheater Jacket - White ( Pack of 1 ),52,1.6
2026-02-15,Men Clothing,Dollar Polyester Men's Windcheater Jacket - Grey Melange ( Pack of 1 ),18,1.8
2026-02-15,Men Clothing,4B Nylon Men's Windcheater Jacket - White ( Pack of 1 ),5,2.7
2026-02-15,Men Clothing,Leotude Fleece Men's Casual Jacket - Yellow ( Pack of 1 ),32,2.7
2026-02-15,Men Clothing,The Dry State Denim Men's Denim Jacket - Blue ( Pack of 1 ),51,2.7
2026-02-15,Men Clothing,SCOLLER Polyester Men's Windcheater Jacket - Olive ( Pack of 1 ),25,4.8
2026-02-15,Men Clothing,Reya Cotton Blend Men's Casual Jacket - Maroon ( Pack of 1 ),53,2.4
2026-02-15,Men Clothing,Dollar Polyester Blend Men's Casual Jacket - Brown ( Pack of 1 ),42,1.8
2026-02-15,Men Clothing,FTX Polyester Men's Windcheater Jacket - Black ( Pack of 1 ),7,4.0
2026-02-15,Men Clothing,4B Nylon Men's Windcheater Jacket - Maroon ( Pack of 1 ),49,3.4
2026-02-15,Men Clothing,SCOLLER Polyester Men's Windcheater Jacket - Black ( Pack of 1 ),32,1.9
2026-02-15,Men Clothing,NUEVOSPORTA Polyester Men's Puffer Jacket - White ( Pack of 1 ),7,2.1
2026-02-15,Men Clothing,Rino Fleece Men's Casual Jacket - Black ( Pack of 1 ),24,3.7
2026-02-15,Men Clothing,Dollar Cotton Men's Casual Jacket - Navy ( Pack of 1 ),19,4.6
2026-02-15,Men Clothing,MAYKR Polyester Men's Casual Jacket - Black ( Pack of 1 ),49,3.5
2026-02-15,Men Clothing,yellow tree Polyester Men's Casual Jacket - White ( Pack of 1 ),10,3.0
2026-02-15,Men Clothing,Reya Cotton Blend Men's Casual Jacket - Black ( Pack of 1 ),13,1.4
2026-02-15,Women Clothing,Sheetal associates Women Polyester Printed Fit & Flare Dress ( Blue ),8,2.2
2026-02-15,Women Clothing,TUHIRAJ Women Crepe Printed Gown ( Brown ),13,1.6
2026-02-15,Women Clothing,"KNOWZY Rayon Women Dupatta ( Magenta , Pack of 1 )",8,3.6
2026-02-15,Women Clothing,Sheetal associates Women Crepe Printed Fit & Flare Dress ( White ),40,3.3
2026-02-15,Women Clothing,wanquila Women Lycra Solid Bodycon Dress ( Beige ),50,4.5
2026-02-15,Women Clothing,Sheetal associates Women Crepe Printed A-line Dress ( Orange ),20,4.7
2026-02-15,Women Clothing,Fasanger Cotton Lycra Women's Shrugs - Blue ( ),41,2.9
2026-02-15,Women Clothing,Fabverse Women Lycra Solid Bodycon Dress ( Black ),13,4.5
2026-02-15,Women Clothing,Sheetal associates Women Crepe Printed Shirt Dress ( White ),39,4.5
2026-02-15,Women Clothing,THE LADIES FASHION Women Viscose Rayon Maxi ( White ),12,1.9
2026-02-15,Women Clothing,Sheetal associates Women Polyester Printed Fit & Flare Dress ( Brown ),29,3.2
2026-02-15,Women Clothing,NIVESTANA Women Viscose Rayon Gown ( Purple ),55,3.0
2026-02-15,Women Clothing,Madhusudan Women Rayon Printed Ethnic Dress ( Pink ),12,4.0
2026-02-15,Women Clothing,PIYURZ Pack of 6 Poly Cotton Solid Women's Briefs ( Multi Color ),9,4.1
2026-02-15,Women Clothing,Honky Tonky Women Polyester Self Design A-line Dress ( Pink ),23,4.7
2026-02-15,Women Clothing,Sheetal associates Women Crepe Printed Shirt Dress ( Green ),17,2.1
2026-02-15,Women Clothing,Sheetal associates Women Crepe Printed A-line Dress ( White ),24,1.6
2026-02-15,Women Clothing,JASH CREATION Women Cotton Blend Printed Fit & Flare Dress ( Pink ),18,3.2
2026-02-15,Women Clothing,Lecowar Women Fleece Hooded Sweatshirt For ( Maroon ),6,4.4
2026-02-15,Women Clothing,"BLYNK Lycra Petticoat ( Maroon , )",31,2.1
2026-02-15,Women Clothing,Fasanger Cotton Lycra Women's Shrugs - White ( ),23,2.3
2026-02-15,Women Clothing,Lecowar Women Fleece Hooded Sweatshirt For ( Maroon ),5,3.1
2026-02-15,Women Clothing,"BLYNK Lycra Petticoat ( Pink , )",23,3.0
2026-02-15,Women Clothing,MAYRAAFASHION Net Self Design Regular Saree With Unstitched Blouse Piece ( Pink ),44,4.0
2026-02-15,Women Clothing,Shri Hub Cotton Women White Salwar,28,2.1
